,_c0,INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI,prev_close,prev_open_int
61,61,FUTSTK,IDEA,25-Jul-2024,XX,16.66,3945560000,36520000,16.74,3909040000
62,62,FUTSTK,LICHSGFIN,25-Jul-2024,XX,791.65,27573000,-458000,781.55,28031000
63,63,FUTSTK,ABFRL,25-Jul-2024,XX,324.8,38279800,-520000,326.75,38799800
64,64,FUTSTK,OBEROIRLTY,25-Jul-2024,XX,1715.8,8017800,-24500,1729.0,8042300
65,65,FUTSTK,NMDC,25-Jul-2024,XX,247.29,95116500,-1435500,246.01,96552000
66,66,FUTSTK,CANBK,25-Jul-2024,XX,114.33,274927500,2679750,115.0,272247750
67,67,FUTSTK,NATIONALUM,25-Jul-2024,XX,199.2,58563750,-1053750,199.88,59617500
68,68,FUTSTK,MANAPPURAM,25-Jul-2024,XX,213.6,47259000,3579000,213.35,43680000
69,69,FUTSTK,OFSS,25-Jul-2024,XX,10202.35,1857700,32000,10292.3,1825700
70,70,FUTSTK,COFORGE,25-Jul-2024,XX,5583.55,2132700,62850,5686.85,2069850
71,71,FUTSTK,M&MFIN,25-Jul-2024,XX,297.1,38402000,1078000,295.4,37324000
72,72,FUTSTK,EXIDEIND,25-Jul-2024,XX,563.6,26620200,172800,567.5,26447400
73,73,FUTSTK,TATAPOWER,25-Jul-2024,XX,442.35,88177950,-163350,438.2,88341300
74,74,FUTSTK,VEDL,25-Jul-2024,XX,449.4,133075700,4091700,457.3,128984000
75,75,FUTSTK,GNFC,25-Jul-2024,XX,687.0,6481800,-83200,687.55,6565000
76,76,FUTSTK,FEDERALBNK,25-Jul-2024,XX,193.48,92725000,2700000,189.33,90025000
77,77,FUTSTK,TATAMOTORS,25-Jul-2024,XX,1022.95,55898700,-2846250,1007.25,58744950
78,78,FUTSTK,LTF,25-Jul-2024,XX,180.07,69120842,1325214,181.18,67795628
79,79,FUTSTK,TATACHEM,25-Jul-2024,XX,1063.9,11283800,347600,1066.7,10936200
80,80,FUTSTK,IOC,25-Jul-2024,XX,175.18,157564875,12260625,172.11,145304250
81,81,FUTSTK,UPL,25-Jul-2024,XX,559.9,35118200,-443300,560.6,35561500
82,82,FUTSTK,AUBANK,25-Jul-2024,XX,634.8,25867000,-262000,631.15,26129000
83,83,FUTSTK,BERGEPAINT,25-Jul-2024,XX,524.2,20172240,0,527.95,20172240
84,84,FUTSTK,DLF,25-Jul-2024,XX,833.2,41647650,-301950,838.05,41949600
85,85,FUTSTK,PIIND,25-Jul-2024,XX,3867.7,1684000,-27000,3851.85,1711000
86,86,FUTSTK,GUJGASLTD,25-Jul-2024,XX,640.4,8662500,-76250,647.25,8738750
87,87,FUTSTK,TATACONSUM,25-Jul-2024,XX,1136.1,11028150,468000,1152.25,10560150
88,88,FUTSTK,IGL,25-Jul-2024,XX,531.6,12731125,70125,528.95,12661000
89,89,FUTSTK,LTTS,25-Jul-2024,XX,4938.85,1078900,23500,5032.4,1055400
90,90,FUTSTK,ICICIGI,25-Jul-2024,XX,1877.95,4280000,-24500,1880.9,4304500
91,91,FUTSTK,WIPRO,25-Jul-2024,XX,536.15,58521000,493500,537.15,58027500
92,92,FUTSTK,TCS,25-Jul-2024,XX,3933.8,19763275,1872850,3912.6,17890425
93,93,FUTSTK,ASTRAL,25-Jul-2024,XX,2340.2,2883886,-64592,2351.25,2948478
94,94,FUTSTK,PIDILITIND,25-Jul-2024,XX,3155.8,2214750,-2250,3158.85,2217000
95,95,FUTSTK,BANDHANBNK,25-Jul-2024,XX,197.68,90627600,-1159200,193.29,91786800
96,96,FUTSTK,CANFINHOME,25-Jul-2024,XX,877.15,5871450,111150,883.1,5760300
97,97,FUTSTK,TRENT,25-Jul-2024,XX,5643.1,3163400,-20600,5584.05,3184000
98,98,FUTSTK,SBIN,25-Jul-2024,XX,858.8,94484250,-1386750,851.5,95871000
99,99,FUTSTK,SHRIRAMFIN,25-Jul-2024,XX,2736.0,7770600,342000,2760.2,7428600
100,100,FUTSTK,CUB,25-Jul-2024,XX,163.17,26110000,320000,165.12,25790000
101,101,FUTSTK,TITAN,25-Jul-2024,XX,3254.25,9186450,-163450,3229.8,9349900
102,102,FUTSTK,RAMCOCEM,25-Jul-2024,XX,798.05,9707850,357850,804.9,9350000
103,103,FUTSTK,HDFCLIFE,25-Jul-2024,XX,635.15,29873800,-1063700,633.95,30937500
104,104,FUTSTK,DALBHARAT,25-Jul-2024,XX,1871.6,3182300,-40975,1867.95,3223275
105,105,FUTSTK,ESCORTS,25-Jul-2024,XX,4004.35,1331000,55825,4069.65,1275175
106,106,FUTSTK,MUTHOOTFIN,25-Jul-2024,XX,1839.7,4329050,-9900,1833.1,4338950
107,107,FUTSTK,CIPLA,25-Jul-2024,XX,1508.25,10326550,5850,1515.5,10320700
108,108,FUTSTK,SUNPHARMA,25-Jul-2024,XX,1579.25,16857050,66850,1595.3,16790200
109,109,FUTSTK,BANKBARODA,25-Jul-2024,XX,257.75,157113450,-1184625,257.55,158298075
110,110,FUTSTK,TVSMOTOR,25-Jul-2024,XX,2477.9,4973500,-110950,2444.1,5084450
111,111,FUTSTK,BHARATFORG,25-Jul-2024,XX,1642.65,8051500,183000,1662.9,7868500
112,112,FUTSTK,INDIACEM,25-Jul-2024,XX,305.8,13688000,-1374600,296.2,15062600
113,113,FUTSTK,HDFCAMC,25-Jul-2024,XX,4196.6,2543550,-300,4175.35,2543850
114,114,FUTSTK,SIEMENS,25-Jul-2024,XX,7806.7,1746300,-10800,7864.15,1757100
115,115,FUTSTK,BRITANNIA,25-Jul-2024,XX,5769.0,2488000,-164400,5764.45,2652400
116,116,FUTSTK,SBICARD,25-Jul-2024,XX,735.75,19303200,606400,739.8,18696800
117,117,FUTSTK,INFY,25-Jul-2024,XX,1652.5,52682800,2042400,1649.2,50640400
118,118,FUTSTK,ZYDUSLIFE,25-Jul-2024,XX,1169.5,16160400,745200,1187.05,15415200
119,119,FUTSTK,ATUL,25-Jul-2024,XX,6844.0,892500,7300,6822.5,885200
120,120,FUTSTK,BEL,25-Jul-2024,XX,337.0,118765200,-3531150,335.15,122296350
121,121,FUTSTK,LAURUSLABS,25-Jul-2024,XX,473.3,18552100,173400,474.5,18378700
122,122,FUTSTK,ASIANPAINT,25-Jul-2024,XX,3021.3,12255200,-159200,3001.55,12414400
123,123,FUTSTK,HAL,25-Jul-2024,XX,5571.05,12532800,-187800,5500.25,12720600
124,124,FUTSTK,NAUKRI,25-Jul-2024,XX,6637.8,1131300,31650,6790.75,1099650
125,125,FUTSTK,ASHOKLEY,25-Jul-2024,XX,227.3,88920000,-2030000,226.39,90950000
126,126,FUTSTK,BHEL,25-Jul-2024,XX,333.2,71208375,-4381125,329.0,75589500
127,127,FUTSTK,BALRAMCHIN,25-Jul-2024,XX,445.55,9198400,-1115200,437.15,10313600
128,128,FUTSTK,IEX,25-Jul-2024,XX,177.94,69135000,-1005000,177.02,70140000
129,129,FUTSTK,ABCAPITAL,25-Jul-2024,XX,227.37,67780800,507600,230.37,67273200
130,130,FUTSTK,RELIANCE,25-Jul-2024,XX,3174.7,28873500,1291500,3174.9,27582000
131,131,FUTSTK,IRCTC,25-Jul-2024,XX,1033.45,20125000,-322875,1023.65,20447875
132,132,FUTSTK,NTPC,25-Jul-2024,XX,378.4,103018500,3567000,383.05,99451500
133,133,FUTSTK,COROMANDEL,25-Jul-2024,XX,1591.35,4042500,15400,1599.65,4027100
134,134,FUTSTK,GRANULES,25-Jul-2024,XX,516.55,10882000,2000,520.3,10880000
135,135,FUTSTK,ADANIPORTS,25-Jul-2024,XX,1488.55,28411200,124800,1491.8,28286400
136,136,FUTSTK,DEEPAKNTR,25-Jul-2024,XX,2765.05,2277000,-140700,2728.1,2417700
137,137,FUTSTK,APOLLOTYRE,25-Jul-2024,XX,527.95,14924300,-187000,529.8,15111300
