,INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
102,FUTSTK,BERGEPAINT,25-Jul-2024,XX,527.95,20172240,286440
103,FUTSTK,BEL,25-Jul-2024,XX,335.15,122296350,1613100
104,FUTSTK,LALPATHLAB,25-Jul-2024,XX,2961.05,1145700,-30000
105,FUTSTK,TITAN,25-Jul-2024,XX,3229.8,9349900,-109025
106,FUTSTK,HDFCLIFE,25-Jul-2024,XX,633.95,30937500,-776600
107,FUTSTK,MGL,25-Jul-2024,XX,1721.75,2307200,-99200
108,FUTSTK,KOTAKBANK,25-Jul-2024,XX,1836.05,37161600,460800
109,FUTSTK,CIPLA,25-Jul-2024,XX,1515.5,10320700,-45500
110,FUTSTK,CHAMBLFERT,25-Jul-2024,XX,500.8,10632400,-1301500
111,FUTSTK,ADANIENT,25-Jul-2024,XX,3109.05,16512300,-79200
112,FUTSTK,SBIN,25-Jul-2024,XX,851.5,95871000,-2124750
113,FUTSTK,RECLTD,25-Jul-2024,XX,632.65,49272000,26000
114,FUTSTK,SHRIRAMFIN,25-Jul-2024,XX,2760.2,7428600,574500
115,FUTSTK,SBICARD,25-Jul-2024,XX,739.8,18696800,35200
116,FUTSTK,BAJFINANCE,25-Jul-2024,XX,7077.25,9048000,-67500
117,FUTSTK,IDFCFIRSTB,25-Jul-2024,XX,78.38,410872500,307500
118,FUTSTK,RELIANCE,25-Jul-2024,XX,3174.9,27582000,-972750
119,FUTSTK,NTPC,25-Jul-2024,XX,383.05,99451500,3942000
120,FUTSTK,ABB,25-Jul-2024,XX,8576.55,1320750,-7000
121,FUTSTK,CANBK,25-Jul-2024,XX,115.0,272247750,7296750
122,FUTSTK,ASHOKLEY,25-Jul-2024,XX,226.39,90950000,1350000
123,FUTSTK,DRREDDY,25-Jul-2024,XX,6556.7,2859250,70125
124,FUTSTK,LT,25-Jul-2024,XX,3660.0,15968550,-330150
125,FUTSTK,RBLBANK,25-Jul-2024,XX,244.0,57440000,-2542500
126,FUTSTK,HINDUNILVR,25-Jul-2024,XX,2616.6,17950200,-160500
127,FUTSTK,JSWSTEEL,25-Jul-2024,XX,927.2,17372475,319950
128,FUTSTK,INDIGO,25-Jul-2024,XX,4287.55,8001600,-195000
129,FUTSTK,BIOCON,25-Jul-2024,XX,359.4,47997500,-102500
130,FUTSTK,TORNTPHARM,25-Jul-2024,XX,2956.3,1230750,-44000
131,FUTSTK,HDFCAMC,25-Jul-2024,XX,4175.35,2543850,24900
132,FUTSTK,PERSISTENT,25-Jul-2024,XX,4578.85,2097600,23600
133,FUTSTK,COROMANDEL,25-Jul-2024,XX,1599.65,4027100,-39200
134,FUTSTK,METROPOLIS,25-Jul-2024,XX,2063.35,1478400,38000
135,FUTSTK,ACC,25-Jul-2024,XX,2664.45,4676100,4200
136,FUTSTK,PFC,25-Jul-2024,XX,562.9,48522500,-211900
137,FUTSTK,BANKBARODA,25-Jul-2024,XX,257.55,158298075,-2287350
138,FUTSTK,DEEPAKNTR,25-Jul-2024,XX,2728.1,2417700,-117300
139,FUTSTK,VOLTAS,25-Jul-2024,XX,1488.6,8523600,-167400
140,FUTSTK,ICICIBANK,25-Jul-2024,XX,1245.1,60417000,-1595300
141,FUTSTK,HDFCBANK,25-Jul-2024,XX,1633.3,157381950,95150
142,FUTSTK,GODREJPROP,25-Jul-2024,XX,3316.05,3222450,9450
