INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,GAIL,30-Jan-2025,,181.52,180.93,0.5900000000000034,0.3260929641297758,118508150,117967650,540500,0.4581764576983605,Long Build-up
FUTSTK,NMDC,30-Jan-2025,,66.86,65.66,1.2000000000000028,1.8275967103259259,232605000,231322500,1282500,0.5544207761890867,Long Build-up
FUTSTK,MPHASIS,30-Jan-2025,,2815.85,2826.55,-10.700000000000273,-0.3785533601033158,3217500,3248300,-30800,-0.9481882831019303,Long Unwinding
FUTIDX,FINNIFTY,30-Jan-2025,,22683.95,23032.45,-348.5,-1.5130826290733292,56475,53500,2975,5.5607476635514015,Short Build-up
FUTSTK,DLF,30-Jan-2025,,751.2,742.55,8.650000000000091,1.1649047202208729,35880075,36018675,-138600,-0.3848003848003848,Short Covering
FUTSTK,NATIONALUM,30-Jan-2025,,205.27,198.84,6.430000000000007,3.233755783544562,51555000,50557500,997500,1.9730010384215992,Long Build-up
FUTSTK,PAGEIND,30-Jan-2025,,45762.15,45648.95,113.20000000000437,0.24797941683216015,178755,178905,-150,-0.08384338056510439,Short Covering
FUTSTK,TATACOMM,30-Jan-2025,,1703.65,1711.95,-8.299999999999955,-0.4848272437863229,5442750,5498750,-56000,-1.0184132757444875,Long Unwinding
FUTSTK,PVRINOX,30-Jan-2025,,1102.45,1084.15,18.299999999999955,1.687958308352161,4049243,4121282,-72039,-1.7479755085917439,Short Covering
FUTSTK,JKCEMENT,30-Jan-2025,,4535.0,4545.95,-10.949999999999818,-0.24087374476181697,782500,802250,-19750,-2.461826114054223,Long Unwinding
FUTSTK,IEX,30-Jan-2025,,172.63,171.14,1.490000000000009,0.8706322309220575,30146250,30213750,-67500,-0.22340821645773862,Short Covering
FUTSTK,SHREECEM,30-Jan-2025,,25264.85,25332.05,-67.20000000000073,-0.26527659624862865,396725,391675,5050,1.289334269483628,Short Build-up
FUTSTK,INFY,30-Jan-2025,,1816.25,1927.65,-111.40000000000009,-5.779057401499239,35087600,39249600,-4162000,-10.60392972157678,Long Unwinding
