INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,BANKBARODA,30-Jan-2025,,242.23,242.44,-0.21000000000000796,-0.08661936974097012,173847375,175880250,-2032875,-1.1558290370863131,Long Unwinding
FUTSTK,APOLLOHOSP,30-Jan-2025,,7328.75,7464.3,-135.55000000000018,-1.8159773856892165,1712500,1727625,-15125,-0.8754793430287243,Long Unwinding
FUTSTK,VEDL,30-Jan-2025,,460.55,453.0,7.550000000000011,1.6666666666666692,102461550,102815750,-354200,-0.3444997483362228,Short Covering
FUTSTK,BHARTIARTL,30-Jan-2025,,1605.1,1618.5,-13.400000000000091,-0.8279270929873396,44643825,44442900,200925,0.45209696036937286,Short Build-up
FUTSTK,GNFC,30-Jan-2025,,570.0,577.5,-7.5,-1.2987012987012987,6003400,5827900,175500,3.0113763105063573,Short Build-up
FUTSTK,AUROPHARMA,30-Jan-2025,,1327.35,1356.8,-29.450000000000045,-2.1705483490566073,13609200,13624600,-15400,-0.11303084127240433,Long Unwinding
FUTSTK,CROMPTON,30-Jan-2025,,369.1,374.05,-4.949999999999989,-1.3233524929822187,24670800,24238800,432000,1.782266448834101,Short Build-up
FUTSTK,CANFINHOME,30-Jan-2025,,725.6,734.3,-8.699999999999932,-1.1848018521040355,6598800,6136650,462150,7.530981887511916,Short Build-up
FUTSTK,HAVELLS,30-Jan-2025,,1704.95,1712.5,-7.5499999999999545,-0.44087591240875645,8502500,8379500,123000,1.4678680112178533,Short Build-up
FUTSTK,HINDPETRO,30-Jan-2025,,415.25,415.3,-0.05000000000001137,-0.01203948952564685,37185075,37764225,-579150,-1.5335942946002468,Long Unwinding
FUTSTK,GODREJPROP,30-Jan-2025,,2748.5,2826.95,-78.44999999999982,-2.775075611524782,5363100,5141700,221400,4.305968842989673,Short Build-up
FUTSTK,SAIL,30-Jan-2025,,114.51,114.53,-0.01999999999999602,-0.017462673535314784,142616000,140912000,1704000,1.209265357102305,Short Build-up
FUTSTK,HINDALCO,30-Jan-2025,,594.25,602.05,-7.7999999999999545,-1.295573457354033,46050200,44938600,1111600,2.473597308327362,Short Build-up
FUTSTK,YESBANK,30-Jan-2025,,20.07,19.71,0.35999999999999943,1.8264840182648374,245466000,246428000,-962000,-0.39037771681789407,Short Covering
FUTSTK,MFSL,30-Jan-2025,,1113.4,1129.5,-16.09999999999991,-1.42540947321823,3460000,3196800,263200,8.233233233233234,Short Build-up
FUTSTK,BRITANNIA,30-Jan-2025,,4846.7,4805.5,41.19999999999982,0.8573509520341237,2666400,2658500,7900,0.29716005266127515,Long Build-up
FUTSTK,TATAMOTORS,30-Jan-2025,,793.8,769.05,24.75,3.218256290228204,99974600,101848450,-1873850,-1.8398414507044536,Short Covering
FUTSTK,ADANIGREEN,30-Jan-2025,,1039.7,1051.85,-12.149999999999864,-1.1551076674430636,8740875,8569500,171375,1.9998249606161387,Short Build-up
FUTSTK,PERSISTENT,30-Jan-2025,,6417.15,6499.15,-82.0,-1.2617034535285385,1707900,1686300,21600,1.2809108699519658,Short Build-up
FUTSTK,IDFCFIRSTB,30-Jan-2025,,65.53,65.01,0.519999999999996,0.7998769420089156,435412500,432667500,2745000,0.6344363743521295,Long Build-up
FUTSTK,NYKAA,30-Jan-2025,,166.08,165.95,0.13000000000002387,0.0783368484483422,25676800,23726850,1949950,8.218326495088897,Long Build-up
