INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,ABFRL,30-Jan-2025,,275.2,58435000,-707200
FUTSTK,GMRAIRPORT,30-Jan-2025,,76.32,248473125,-1620000
FUTSTK,ZOMATO,30-Jan-2025,,249.45,127350000,-428000
FUTSTK,PEL,30-Jan-2025,,1034.25,8644500,30000
FUTSTK,SBILIFE,30-Jan-2025,,1541.2,9557250,264000
FUTSTK,LTTS,30-Jan-2025,,5384.7,716000,57900
FUTSTK,PFC,30-Jan-2025,,435.0,56043000,-300300
FUTSTK,POLICYBZR,30-Jan-2025,,1727.0,2751450,246675
FUTSTK,ASHOKLEY,30-Jan-2025,,207.17,54475000,167500
FUTSTK,NAVINFLUOR,30-Jan-2025,,3763.4,1661800,-28875
FUTSTK,COLPAL,30-Jan-2025,,2679.65,4676875,54250
FUTSTK,PIDILITIND,30-Jan-2025,,2821.3,3557500,98250
FUTSTK,CHAMBLFERT,30-Jan-2025,,502.45,7850800,-209000
FUTSTK,VEDL,30-Jan-2025,,455.1,101071200,-624450
FUTSTK,POWERGRID,30-Jan-2025,,303.3,71004600,-378000
FUTSTK,ADANIENT,30-Jan-2025,,2407.8,16749900,-100500
FUTSTK,GODREJPROP,30-Jan-2025,,2408.0,4753125,-75150
FUTSTK,CONCOR,30-Jan-2025,,775.05,14681000,51000
FUTSTK,BSOFT,30-Jan-2025,,532.85,10762000,19000
FUTSTK,DABUR,30-Jan-2025,,527.65,19285000,-53750
FUTSTK,BHARATFORG,30-Jan-2025,,1207.8,12431000,259500
FUTSTK,HINDALCO,30-Jan-2025,,617.2,48102600,-1297800
FUTSTK,INDUSINDBK,30-Jan-2025,,972.65,51281000,281500
FUTSTK,MFSL,30-Jan-2025,,1090.35,4084000,-77600
FUTSTK,SHRIRAMFIN,30-Jan-2025,,527.7,34158750,1066500
FUTSTK,ABCAPITAL,30-Jan-2025,,177.78,64632600,-89100
FUTSTK,LTF,30-Jan-2025,,137.25,81659062,-290030
FUTSTK,PIIND,30-Jan-2025,,3559.85,1863250,-82375
FUTSTK,BEL,30-Jan-2025,,282.4,93708000,1539000
FUTSTK,TITAN,30-Jan-2025,,3367.25,8417500,-24500
FUTSTK,SONACOMS,30-Jan-2025,,575.35,6663450,505300
FUTSTK,ALKEM,30-Jan-2025,,5264.5,1079700,26300
FUTSTK,HDFCLIFE,30-Jan-2025,,643.85,27078700,-609400
FUTSTK,MANAPPURAM,30-Jan-2025,,193.78,49008000,-2115000
FUTSTK,MGL,30-Jan-2025,,1322.05,6273200,-41200
FUTSTK,EXIDEIND,30-Jan-2025,,390.95,29487600,109800
FUTSTK,IPCALAB,30-Jan-2025,,1545.35,2635100,-26650
FUTSTK,LTIM,30-Jan-2025,,5912.05,2397300,-97650
FUTSTK,INDUSTOWER,30-Jan-2025,,363.55,85290700,513400
FUTSTK,HINDUNILVR,30-Jan-2025,,2362.1,13713000,79800
FUTSTK,ABBOTINDIA,30-Jan-2025,,27926.7,77140,-3880
FUTSTK,CANFINHOME,30-Jan-2025,,691.8,7194525,91650
FUTSTK,PETRONET,30-Jan-2025,,324.75,32121000,-69000
FUTSTK,TORNTPHARM,30-Jan-2025,,3184.5,2179250,100250
FUTSTK,JIOFIN,30-Jan-2025,,279.6,52430400,584100
FUTSTK,ADANIGREEN,30-Jan-2025,,1079.1,8535375,-240750
FUTSTK,DIXON,30-Jan-2025,,17222.8,1236150,47000
FUTSTK,IDFCFIRSTB,30-Jan-2025,,62.78,444517500,5857500
FUTSTK,LODHA,30-Jan-2025,,1179.8,4671000,160650
FUTSTK,AUBANK,30-Jan-2025,,592.3,34034000,543000
FUTSTK,RELIANCE,30-Jan-2025,,1303.15,152931000,-6202500
FUTSTK,NCC,30-Jan-2025,,251.65,4741025,-53250
FUTSTK,NESTLEIND,30-Jan-2025,,2212.65,9573400,-239400
FUTSTK,AARTIIND,30-Jan-2025,,443.2,15316000,-506000
FUTSTK,NHPC,30-Jan-2025,,79.64,56294400,57600
FUTSTK,DALBHARAT,30-Jan-2025,,1725.85,2375725,-143275
FUTSTK,ESCORTS,30-Jan-2025,,3599.95,1108800,9750
FUTSTK,NAUKRI,30-Jan-2025,,7750.35,1713750,-106350
FUTSTK,BHEL,30-Jan-2025,,213.96,82711125,-1785000
FUTSTK,BHARTIARTL,30-Jan-2025,,1628.8,42905325,-900600
FUTSTK,JSWSTEEL,30-Jan-2025,,910.35,31723650,77625
FUTSTK,UNIONBANK,30-Jan-2025,,109.04,41103825,-650475
FUTSTK,TRENT,30-Jan-2025,,6237.1,3636500,-20000
FUTSTK,BRITANNIA,30-Jan-2025,,4870.2,2997800,72000
FUTSTK,SBICARD,30-Jan-2025,,741.3,21935200,-210400
FUTSTK,IOC,30-Jan-2025,,128.52,138571875,4806750
FUTSTK,PNB,30-Jan-2025,,100.48,312384000,-872000
FUTSTK,RAMCOCEM,30-Jan-2025,,886.25,5361800,-5100
FUTSTK,METROPOLIS,30-Jan-2025,,1890.85,1375200,20000
FUTSTK,ASIANPAINT,30-Jan-2025,,2269.0,13557800,71400
FUTSTK,HAL,30-Jan-2025,,4118.15,8980500,-279750
FUTSTK,WIPRO,30-Jan-2025,,280.45,59136000,1398000
FUTSTK,ICICIPRULI,30-Jan-2025,,648.35,12408750,202500
FUTSTK,BANKBARODA,30-Jan-2025,,228.58,153746775,406575
FUTSTK,VOLTAS,30-Jan-2025,,1601.1,7002000,-357900
FUTSTK,BANKINDIA,30-Jan-2025,,100.63,28810075,1418550
FUTSTK,SBIN,30-Jan-2025,,765.9,111914250,-387750
FUTSTK,HUDCO,30-Jan-2025,,233.17,19918950,589275
FUTSTK,BERGEPAINT,30-Jan-2025,,470.45,10430640,224400
FUTSTK,NTPC,30-Jan-2025,,326.35,131037000,-466500
FUTSTK,IGL,30-Jan-2025,,405.05,21968375,-749375
FUTSTK,INDIANB,30-Jan-2025,,522.2,3667950,-31350
FUTSTK,GLENMARK,30-Jan-2025,,1472.5,2381275,36075
FUTSTK,HEROMOTOCO,30-Jan-2025,,4103.7,6642450,-8700
FUTSTK,LT,30-Jan-2025,,3571.15,14797350,-468300
FUTSTK,CESC,30-Jan-2025,,153.09,18971550,1576575
FUTSTK,MCX,30-Jan-2025,,6047.95,1755000,-54700
FUTSTK,INDIGO,30-Jan-2025,,4100.9,7202550,38400
FUTSTK,HDFCBANK,30-Jan-2025,,1639.6,124600850,-1249600
FUTSTK,SIEMENS,30-Jan-2025,,6174.5,2174100,-76425
FUTSTK,GUJGASLTD,30-Jan-2025,,498.35,5752500,105000
FUTSTK,SUNTV,30-Jan-2025,,650.05,4093500,-23250
