INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,TVSMOTOR,25-Jul-2024,XX,2444.1,5084450,-220500
FUTSTK,SAIL,25-Jul-2024,XX,151.13,140864000,-6568000
FUTSTK,BHARATFORG,25-Jul-2024,XX,1662.9,7868500,74000
FUTSTK,INDIACEM,25-Jul-2024,XX,296.2,15062600,-1220900
FUTSTK,DIXON,25-Jul-2024,XX,12468.5,1840300,-2200
FUTSTK,UPL,25-Jul-2024,XX,560.6,35561500,94900
FUTSTK,PNB,25-Jul-2024,XX,119.67,245352000,8720000
FUTSTK,ABFRL,25-Jul-2024,XX,326.75,38799800,-1814800
FUTSTK,OBEROIRLTY,25-Jul-2024,XX,1729.0,8042300,-177100
FUTSTK,TATACONSUM,25-Jul-2024,XX,1152.25,10560150,-318150
FUTSTK,NATIONALUM,25-Jul-2024,XX,199.88,59617500,-2782500
FUTSTK,MANAPPURAM,25-Jul-2024,XX,213.35,43680000,534000
FUTSTK,BALRAMCHIN,25-Jul-2024,XX,437.15,10313600,-1273600
FUTSTK,ASTRAL,25-Jul-2024,XX,2351.25,2948478,32296
FUTSTK,TECHM,25-Jul-2024,XX,1467.3,16642800,-57600
FUTSTK,CANFINHOME,25-Jul-2024,XX,883.1,5760300,-554775
FUTSTK,BSOFT,25-Jul-2024,XX,690.75,13900000,-260000
FUTSTK,BAJAJ-AUTO,25-Jul-2024,XX,9558.25,2304375,-94425
FUTSTK,BRITANNIA,25-Jul-2024,XX,5764.45,2652400,70200
FUTSTK,BOSCHLTD,25-Jul-2024,XX,35326.85,272875,-6100
FUTSTK,IOC,25-Jul-2024,XX,172.11,145304250,-4645875
FUTSTK,BERGEPAINT,25-Jul-2024,XX,527.95,20172240,286440
FUTSTK,BEL,25-Jul-2024,XX,335.15,122296350,1613100
FUTSTK,LALPATHLAB,25-Jul-2024,XX,2961.05,1145700,-30000
FUTSTK,TITAN,25-Jul-2024,XX,3229.8,9349900,-109025
FUTSTK,HDFCLIFE,25-Jul-2024,XX,633.95,30937500,-776600
FUTSTK,MGL,25-Jul-2024,XX,1721.75,2307200,-99200
FUTSTK,KOTAKBANK,25-Jul-2024,XX,1836.05,37161600,460800
FUTSTK,CIPLA,25-Jul-2024,XX,1515.5,10320700,-45500
FUTSTK,CHAMBLFERT,25-Jul-2024,XX,500.8,10632400,-1301500
FUTSTK,ADANIENT,25-Jul-2024,XX,3109.05,16512300,-79200
FUTSTK,SBIN,25-Jul-2024,XX,851.5,95871000,-2124750
FUTSTK,RECLTD,25-Jul-2024,XX,632.65,49272000,26000
FUTSTK,SHRIRAMFIN,25-Jul-2024,XX,2760.2,7428600,574500
FUTSTK,SBICARD,25-Jul-2024,XX,739.8,18696800,35200
FUTSTK,BAJFINANCE,25-Jul-2024,XX,7077.25,9048000,-67500
FUTSTK,IDFCFIRSTB,25-Jul-2024,XX,78.38,410872500,307500
FUTSTK,RELIANCE,25-Jul-2024,XX,3174.9,27582000,-972750
FUTSTK,NTPC,25-Jul-2024,XX,383.05,99451500,3942000
FUTSTK,ABB,25-Jul-2024,XX,8576.55,1320750,-7000
FUTSTK,CANBK,25-Jul-2024,XX,115.0,272247750,7296750
FUTSTK,ASHOKLEY,25-Jul-2024,XX,226.39,90950000,1350000
FUTSTK,DRREDDY,25-Jul-2024,XX,6556.7,2859250,70125
FUTSTK,LT,25-Jul-2024,XX,3660.0,15968550,-330150
FUTSTK,RBLBANK,25-Jul-2024,XX,244.0,57440000,-2542500
FUTSTK,HINDUNILVR,25-Jul-2024,XX,2616.6,17950200,-160500
FUTSTK,JSWSTEEL,25-Jul-2024,XX,927.2,17372475,319950
FUTSTK,INDIGO,25-Jul-2024,XX,4287.55,8001600,-195000
FUTSTK,BIOCON,25-Jul-2024,XX,359.4,47997500,-102500
FUTSTK,TORNTPHARM,25-Jul-2024,XX,2956.3,1230750,-44000
FUTSTK,HDFCAMC,25-Jul-2024,XX,4175.35,2543850,24900
FUTSTK,PERSISTENT,25-Jul-2024,XX,4578.85,2097600,23600
FUTSTK,COROMANDEL,25-Jul-2024,XX,1599.65,4027100,-39200
FUTSTK,METROPOLIS,25-Jul-2024,XX,2063.35,1478400,38000
FUTSTK,ACC,25-Jul-2024,XX,2664.45,4676100,4200
FUTSTK,PFC,25-Jul-2024,XX,562.9,48522500,-211900
FUTSTK,BANKBARODA,25-Jul-2024,XX,257.55,158298075,-2287350
FUTSTK,DEEPAKNTR,25-Jul-2024,XX,2728.1,2417700,-117300
FUTSTK,VOLTAS,25-Jul-2024,XX,1488.6,8523600,-167400
FUTSTK,ICICIBANK,25-Jul-2024,XX,1245.1,60417000,-1595300
FUTSTK,HDFCBANK,25-Jul-2024,XX,1633.3,157381950,95150
FUTSTK,GODREJPROP,25-Jul-2024,XX,3316.05,3222450,9450
FUTSTK,IDEA,25-Jul-2024,XX,16.74,3909040000,79120000
FUTSTK,LAURUSLABS,25-Jul-2024,XX,474.5,18378700,-547400
FUTSTK,ALKEM,25-Jul-2024,XX,5250.15,1333800,-300
FUTSTK,IDFC,25-Jul-2024,XX,116.35,104355000,-1100000
FUTSTK,TATASTEEL,25-Jul-2024,XX,168.54,233662000,11737000
FUTSTK,NAVINFLUOR,25-Jul-2024,XX,3683.3,1509200,-63175
FUTSTK,SUNPHARMA,25-Jul-2024,XX,1595.3,16790200,-645400
FUTSTK,SRF,25-Jul-2024,XX,2404.25,4773750,-48375
FUTSTK,AMBUJACEM,25-Jul-2024,XX,667.6,32882400,980100
FUTSTK,JKCEMENT,25-Jul-2024,XX,4380.25,663500,-67750
FUTSTK,GODREJCP,25-Jul-2024,XX,1443.3,5835500,244000
FUTSTK,INDUSINDBK,25-Jul-2024,XX,1429.4,28890500,-683000
FUTSTK,SIEMENS,25-Jul-2024,XX,7864.15,1757100,-24300
FUTSTK,SUNTV,25-Jul-2024,XX,782.9,5439000,-196500
FUTSTK,BHEL,25-Jul-2024,XX,329.0,75589500,-1428000
FUTSTK,COLPAL,25-Jul-2024,XX,3044.25,2766050,-121450
FUTSTK,BALKRISIND,25-Jul-2024,XX,3188.8,2098200,-118800
FUTSTK,EICHERMOT,25-Jul-2024,XX,4855.6,3153500,4900
FUTSTK,DABUR,25-Jul-2024,XX,631.8,17587500,-81250
FUTSTK,SBILIFE,25-Jul-2024,XX,1561.0,8524875,-424500
FUTSTK,ABCAPITAL,25-Jul-2024,XX,230.37,67273200,253800
FUTSTK,ADANIPORTS,25-Jul-2024,XX,1491.8,28286400,-235200
FUTSTK,ICICIGI,25-Jul-2024,XX,1880.9,4304500,-47000
FUTSTK,M&MFIN,25-Jul-2024,XX,295.4,37324000,-50000
FUTSTK,AXISBANK,25-Jul-2024,XX,1291.85,42118125,-505625
FUTSTK,CHOLAFIN,25-Jul-2024,XX,1421.05,8270000,36875
FUTSTK,PEL,25-Jul-2024,XX,910.15,14625000,-257250
FUTSTK,JUBLFOOD,25-Jul-2024,XX,578.25,19621250,-141250
FUTSTK,MARUTI,25-Jul-2024,XX,12797.75,3022300,-116150
FUTSTK,GRASIM,25-Jul-2024,XX,2808.6,9290250,88000
FUTSTK,AUBANK,25-Jul-2024,XX,631.15,26129000,-688000
FUTSTK,ONGC,25-Jul-2024,XX,299.0,84544075,-2123275
FUTSTK,ATUL,25-Jul-2024,XX,6822.5,885200,14900
FUTSTK,GMRINFRA,25-Jul-2024,XX,98.03,218216250,-2362500
FUTSTK,INFY,25-Jul-2024,XX,1649.2,50640400,2089600
FUTSTK,CUMMINSIND,25-Jul-2024,XX,4028.6,4120200,-45900
FUTIDX,NIFTY,25-Jul-2024,,24355.05,14068000,-405150
FUTSTK,CROMPTON,25-Jul-2024,XX,425.0,23574600,28800
FUTSTK,ITC,25-Jul-2024,XX,452.6,110841600,484800
